TransactionID|Date|ProductID|ProductName|Quantity|UnitPrice|CustomerID|Region|TotalPrice|Category
T018|2024-12-29|P107|USB Cable|8|173|C009|South|1384|Accessories
T063|2024-12-07|P110|Laptop Charger|6|1916|C022|East|11496|Computers
T023|2024-12-09|P109|Wireless Mouse|9|523|C022|North|4707|Peripherals
T059|2024-12-29|P102|Mouse,Wireless|4|1056|C010|South|4224|Peripherals
T035|2024-12-08|P102|Mouse|4|431|C011|North|1724|Peripherals
T061|2024-12-10|P109|Wireless Mouse|2|775|C009|North|1550|Peripherals
T057|2024-12-15|P101|Laptop,Premium|10|81896|C004|North|818960|Computers
T034|2024-12-22|P107|USB Cable|6|324|C029|West|1944|Accessories
T050|2024-12-02|P104|Monitor,LED|10|9997|C024|East|99970|Display Devices
T024|2024-12-25|P109|Wireless Mouse|5|1812|C011|North|9060|Peripherals
T004|2024-12-07|P109|Wireless Mouse|9|1359|C008|West|12231|Peripherals
T068|2024-12-02|P109|Wireless Mouse|6|1692|C018|South|10152|Peripherals
T066|2024-12-06|P105|Webcam|8|4259|C023|West|34072|Display Devices
T064|2024-12-16|P109|Wireless Mouse|5|604|C003|West|3020|Peripherals
T045|2024-12-26|P108|External Hard Drive|9|3802|C002|North|34218|Storage Devices
T015|2024-12-30|P105|Webcam|9|2899|C022|East|26091|Display Devices
T055|2024-12-07|P105|Webcam,HD|6|2977|C009|West|17862|Display Devices
T072|2024-12-26|P103|Keyboard|3|2488||South|7464|Peripherals
T002|2024-12-22|P102|Mouse|9|478|C019|West|4302|Peripherals
T051|2024-12-02|P101|Laptop,Premium|10|76246|C017|South|762460|Computers
T005|2024-12-09|P110|Laptop Charger|1|3054|C026|South|3054|Computers
T007|2024-12-03|P102|Mouse|7|498|C012|East|3486|Peripherals
T010|2024-12-07|P110|Laptop Charger|2|1593|C022|South|3186|Computers
T032|2024-12-22|P103|Keyboard|8|1476|C009|West|11808|Peripherals
T008|2024-12-09|P110|Laptop Charger|1|2994|C015|North|2994|Computers
T060|2024-12-27|P108|External Hard Drive,1TB|9|8763|C010|North|78867|Storage Devices
T062|2024-12-24|P102|Mouse|9|618|C009|East|5562|Peripherals
T003|2024-12-01|P101|Laptop|2|59328|C008|North|118656|Computers
